step,rollout/ep_rew_mean,train/entropy_loss,entropy,algorithm,condition,safety,seed,experiment,run_id
80290,-158.76522717919755,-2.300219245958269,2.300219245958269,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
82296,-157.19798325715263,-2.2914697586794506,2.2914697586794506,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
84303,-156.3705313615987,-2.2831485975450976,2.2831485975450976,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
86309,-158.84609111553056,-2.269878248282315,2.269878248282315,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
88315,-158.3009872949162,-2.267635554645764,2.267635554645764,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
90321,-156.93428485621632,-2.2648220613197987,2.2648220613197987,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
92328,-152.37963637463986,-2.260662985016524,2.260662985016524,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
94334,-150.50734010234083,-2.2557780383661634,2.2557780383661634,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
96340,-152.3257971599134,-2.2480245533025864,2.2480245533025864,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
98346,-150.14789080637462,-2.2452050930933773,2.2452050930933773,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
100353,-148.17820235268204,-2.2458520709648644,2.2458520709648644,FP3O,Type-Conditioned,True,seed_0,FP3O_Coupled_Safety_True,39
2048,-242.03280279016892,-3.0042847287296044,3.0042847287296044,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
4054,-227.40274212675922,-2.964671961413362,2.964671961413362,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
6060,-226.44713709467985,-2.9032321503276592,2.9032321503276592,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
8066,-224.31946519127848,-2.8719485815324703,2.8719485815324703,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
10072,-223.89710422380287,-2.819013306814829,2.819013306814829,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
12079,-234.56067878315747,-2.7936948548482605,2.7936948548482605,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
14085,-229.80021135859374,-2.7734521230014124,2.7734521230014124,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
16091,-224.20374269621007,-2.7266269232188036,2.7266269232188036,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
18097,-203.29821119949676,-2.706489617766045,2.706489617766045,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
20104,-201.66734560248057,-2.6790569686895003,2.6790569686895003,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
22110,-195.85785662508164,-2.6577789852823726,2.6577789852823726,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
24116,-191.69115434021325,-2.650177106994964,2.650177106994964,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
26122,-193.5017210831046,-2.6143666133744023,2.6143666133744023,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
28128,-179.6336155391745,-2.5748369820859245,2.5748369820859245,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
30135,-169.12379716584402,-2.536849823871118,2.536849823871118,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
32141,-158.80210451892486,-2.5028442034843548,2.5028442034843548,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
34147,-158.46108142219413,-2.4801480425384645,2.4801480425384645,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
36153,-143.6522676975865,-2.463400380658934,2.463400380658934,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
38160,-145.57118311835606,-2.446270819774132,2.446270819774132,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
40166,-134.80358212448954,-2.435770299526972,2.435770299526972,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
42172,-116.27662071332122,-2.4159166285315656,2.4159166285315656,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
44178,-116.7339921560645,-2.4126383651054777,2.4126383651054777,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
46184,-113.62047825340777,-2.389789835213485,2.389789835213485,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
48191,-106.6030384784327,-2.399585752975785,2.399585752975785,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
50197,-102.90498156863995,-2.3847274447441684,2.3847274447441684,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
52203,-103.9958608546427,-2.3555924177314944,2.3555924177314944,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
