step,rollout/ep_rew_mean,train/entropy_loss,rollout/ep_len_mean,algorithm,safety,seed,experiment
229376,-21.510272979736328,-2.723446846008301,12.470000267028809,FP3O,True,seed_0,FP3O_Safety_True
233472,-8.126070976257324,-2.7350308895111084,4.960000038146973,FP3O,True,seed_0,FP3O_Safety_True
237568,-21.136363983154297,-2.7331695556640625,12.069999694824219,FP3O,True,seed_0,FP3O_Safety_True
241664,-23.885759353637695,-2.716895341873169,14.0600004196167,FP3O,True,seed_0,FP3O_Safety_True
245760,-15.351153373718262,-2.7195796966552734,8.489999771118164,FP3O,True,seed_0,FP3O_Safety_True
249856,-23.482458114624023,-2.7464466094970703,12.920000076293945,FP3O,True,seed_0,FP3O_Safety_True
253952,-23.987503051757812,-2.7174298763275146,13.359999656677246,FP3O,True,seed_0,FP3O_Safety_True
258048,-12.773565292358398,-2.7210748195648193,8.050000190734863,FP3O,True,seed_0,FP3O_Safety_True
262144,-6.121777534484863,-2.7630720138549805,4.039999961853027,FP3O,True,seed_0,FP3O_Safety_True
266240,-10.036075592041016,-2.7878544330596924,6.130000114440918,FP3O,True,seed_0,FP3O_Safety_True
270336,-16.442142486572266,-2.769021511077881,9.460000038146973,FP3O,True,seed_0,FP3O_Safety_True
274432,-25.764719009399414,-2.78422212600708,13.800000190734863,FP3O,True,seed_0,FP3O_Safety_True
278528,-17.852746963500977,-2.746131420135498,10.529999732971191,FP3O,True,seed_0,FP3O_Safety_True
282624,-19.569250106811523,-2.741086721420288,11.550000190734863,FP3O,True,seed_0,FP3O_Safety_True
286720,-25.108835220336914,-2.7266719341278076,14.680000305175781,FP3O,True,seed_0,FP3O_Safety_True
290816,-14.527156829833984,-2.7636847496032715,8.569999694824219,FP3O,True,seed_0,FP3O_Safety_True
294912,-22.937402725219727,-2.777583122253418,12.529999732971191,FP3O,True,seed_0,FP3O_Safety_True
299008,-21.64364242553711,-2.787249803543091,12.039999961853027,FP3O,True,seed_0,FP3O_Safety_True
303104,-9.166573524475098,-2.764193058013916,5.5,FP3O,True,seed_0,FP3O_Safety_True
307200,-15.142997741699219,-2.747750997543335,9.369999885559082,FP3O,True,seed_0,FP3O_Safety_True
311296,-15.593610763549805,-2.7288260459899902,9.0,FP3O,True,seed_0,FP3O_Safety_True
315392,-19.84136390686035,-2.745142936706543,10.8100004196167,FP3O,True,seed_0,FP3O_Safety_True
319488,-14.59082317352295,-2.7384033203125,9.239999771118164,FP3O,True,seed_0,FP3O_Safety_True
323584,-18.741039276123047,-2.7173213958740234,10.029999732971191,FP3O,True,seed_0,FP3O_Safety_True
327680,-16.0433292388916,-2.6788763999938965,9.369999885559082,FP3O,True,seed_0,FP3O_Safety_True
331776,-20.406902313232422,-2.668637990951538,12.199999809265137,FP3O,True,seed_0,FP3O_Safety_True
335872,-4.781468868255615,-2.67270565032959,3.7799999713897705,FP3O,True,seed_0,FP3O_Safety_True
339968,-6.674749851226807,-2.6773762702941895,4.119999885559082,FP3O,True,seed_0,FP3O_Safety_True
344064,-11.691311836242676,-2.6918439865112305,6.659999847412109,FP3O,True,seed_0,FP3O_Safety_True
348160,-4.681914806365967,-2.683448076248169,3.640000104904175,FP3O,True,seed_0,FP3O_Safety_True
352256,-8.126712799072266,-2.69044828414917,4.940000057220459,FP3O,True,seed_0,FP3O_Safety_True
356352,-9.515471458435059,-2.732370376586914,6.150000095367432,FP3O,True,seed_0,FP3O_Safety_True
360448,0.0,-2.7163848876953125,1.0,FP3O,True,seed_0,FP3O_Safety_True
364544,-2.3256843090057373,-2.669006824493408,2.380000114440918,FP3O,True,seed_0,FP3O_Safety_True
368640,-1.995055079460144,-2.757183074951172,1.899999976158142,FP3O,True,seed_0,FP3O_Safety_True
372736,-6.956181049346924,-2.7234065532684326,4.590000152587891,FP3O,True,seed_0,FP3O_Safety_True
376832,-4.078953266143799,-2.7258574962615967,3.1600000858306885,FP3O,True,seed_0,FP3O_Safety_True
380928,-9.456585884094238,-2.710590362548828,5.489999771118164,FP3O,True,seed_0,FP3O_Safety_True
385024,-2.78849720954895,-2.7164418697357178,2.6700000762939453,FP3O,True,seed_0,FP3O_Safety_True
389120,-9.952923774719238,-2.670515775680542,5.909999847412109,FP3O,True,seed_0,FP3O_Safety_True
